name,original_path,encoded_path
abomasnow,pokemon\images\abomasnow.png,pokemon_distorted\abomasnow.png
abra,pokemon\images\abra.png,pokemon_distorted\abra.png
absol,pokemon\images\absol.png,pokemon_distorted\absol.png
accelgor,pokemon\images\accelgor.png,pokemon_distorted\accelgor.png
aegislash-blade,pokemon\images\aegislash-blade.png,pokemon_distorted\aegislash-blade.png
aerodactyl,pokemon\images\aerodactyl.png,pokemon_distorted\aerodactyl.png
aggron,pokemon\images\aggron.png,pokemon_distorted\aggron.png
aipom,pokemon\images\aipom.png,pokemon_distorted\aipom.png
alakazam,pokemon\images\alakazam.png,pokemon_distorted\alakazam.png
alomomola,pokemon\images\alomomola.png,pokemon_distorted\alomomola.png
altaria,pokemon\images\altaria.png,pokemon_distorted\altaria.png
amaura,pokemon\images\amaura.png,pokemon_distorted\amaura.png
ambipom,pokemon\images\ambipom.png,pokemon_distorted\ambipom.png
amoonguss,pokemon\images\amoonguss.png,pokemon_distorted\amoonguss.png
ampharos,pokemon\images\ampharos.png,pokemon_distorted\ampharos.png
anorith,pokemon\images\anorith.png,pokemon_distorted\anorith.png
araquanid,pokemon\images\araquanid.png,pokemon_distorted\araquanid.png
arbok,pokemon\images\arbok.png,pokemon_distorted\arbok.png
arcanine,pokemon\images\arcanine.png,pokemon_distorted\arcanine.png
arceus,pokemon\images\arceus.png,pokemon_distorted\arceus.png
archen,pokemon\images\archen.png,pokemon_distorted\archen.png
archeops,pokemon\images\archeops.png,pokemon_distorted\archeops.png
ariados,pokemon\images\ariados.png,pokemon_distorted\ariados.png
armaldo,pokemon\images\armaldo.png,pokemon_distorted\armaldo.png
aromatisse,pokemon\images\aromatisse.png,pokemon_distorted\aromatisse.png
aron,pokemon\images\aron.png,pokemon_distorted\aron.png
articuno,pokemon\images\articuno.png,pokemon_distorted\articuno.png
audino,pokemon\images\audino.png,pokemon_distorted\audino.png
aurorus,pokemon\images\aurorus.png,pokemon_distorted\aurorus.png
avalugg,pokemon\images\avalugg.png,pokemon_distorted\avalugg.png
axew,pokemon\images\axew.png,pokemon_distorted\axew.png
azelf,pokemon\images\azelf.png,pokemon_distorted\azelf.png
azumarill,pokemon\images\azumarill.png,pokemon_distorted\azumarill.png
azurill,pokemon\images\azurill.png,pokemon_distorted\azurill.png
bagon,pokemon\images\bagon.png,pokemon_distorted\bagon.png
baltoy,pokemon\images\baltoy.png,pokemon_distorted\baltoy.png
banette,pokemon\images\banette.png,pokemon_distorted\banette.png
barbaracle,pokemon\images\barbaracle.png,pokemon_distorted\barbaracle.png
barboach,pokemon\images\barboach.png,pokemon_distorted\barboach.png
basculin-red-striped,pokemon\images\basculin-red-striped.png,pokemon_distorted\basculin-red-striped.png
bastiodon,pokemon\images\bastiodon.png,pokemon_distorted\bastiodon.png
bayleef,pokemon\images\bayleef.png,pokemon_distorted\bayleef.png
beartic,pokemon\images\beartic.png,pokemon_distorted\beartic.png
beautifly,pokemon\images\beautifly.png,pokemon_distorted\beautifly.png
beedrill,pokemon\images\beedrill.png,pokemon_distorted\beedrill.png
beheeyem,pokemon\images\beheeyem.png,pokemon_distorted\beheeyem.png
beldum,pokemon\images\beldum.png,pokemon_distorted\beldum.png
bellossom,pokemon\images\bellossom.png,pokemon_distorted\bellossom.png
bellsprout,pokemon\images\bellsprout.png,pokemon_distorted\bellsprout.png
bergmite,pokemon\images\bergmite.png,pokemon_distorted\bergmite.png
bewear,pokemon\images\bewear.png,pokemon_distorted\bewear.png
bibarel,pokemon\images\bibarel.png,pokemon_distorted\bibarel.png
bidoof,pokemon\images\bidoof.png,pokemon_distorted\bidoof.png
binacle,pokemon\images\binacle.png,pokemon_distorted\binacle.png
bisharp,pokemon\images\bisharp.png,pokemon_distorted\bisharp.png
blacephalon,pokemon\images\blacephalon.png,pokemon_distorted\blacephalon.png
blastoise,pokemon\images\blastoise.png,pokemon_distorted\blastoise.png
blaziken,pokemon\images\blaziken.png,pokemon_distorted\blaziken.png
blissey,pokemon\images\blissey.png,pokemon_distorted\blissey.png
blitzle,pokemon\images\blitzle.png,pokemon_distorted\blitzle.png
boldore,pokemon\images\boldore.png,pokemon_distorted\boldore.png
bonsly,pokemon\images\bonsly.png,pokemon_distorted\bonsly.png
bouffalant,pokemon\images\bouffalant.png,pokemon_distorted\bouffalant.png
bounsweet,pokemon\images\bounsweet.png,pokemon_distorted\bounsweet.png
braixen,pokemon\images\braixen.png,pokemon_distorted\braixen.png
braviary,pokemon\images\braviary.png,pokemon_distorted\braviary.png
breloom,pokemon\images\breloom.png,pokemon_distorted\breloom.png
brionne,pokemon\images\brionne.png,pokemon_distorted\brionne.png
bronzong,pokemon\images\bronzong.png,pokemon_distorted\bronzong.png
bronzor,pokemon\images\bronzor.png,pokemon_distorted\bronzor.png
bruxish,pokemon\images\bruxish.png,pokemon_distorted\bruxish.png
budew,pokemon\images\budew.png,pokemon_distorted\budew.png
buizel,pokemon\images\buizel.png,pokemon_distorted\buizel.png
bulbasaur,pokemon\images\bulbasaur.png,pokemon_distorted\bulbasaur.png
buneary,pokemon\images\buneary.png,pokemon_distorted\buneary.png
bunnelby,pokemon\images\bunnelby.png,pokemon_distorted\bunnelby.png
burmy,pokemon\images\burmy.png,pokemon_distorted\burmy.png
butterfree,pokemon\images\butterfree.png,pokemon_distorted\butterfree.png
buzzwole,pokemon\images\buzzwole.png,pokemon_distorted\buzzwole.png
cacnea,pokemon\images\cacnea.png,pokemon_distorted\cacnea.png
cacturne,pokemon\images\cacturne.png,pokemon_distorted\cacturne.png
camerupt,pokemon\images\camerupt.png,pokemon_distorted\camerupt.png
carbink,pokemon\images\carbink.png,pokemon_distorted\carbink.png
carnivine,pokemon\images\carnivine.png,pokemon_distorted\carnivine.png
carracosta,pokemon\images\carracosta.png,pokemon_distorted\carracosta.png
carvanha,pokemon\images\carvanha.png,pokemon_distorted\carvanha.png
cascoon,pokemon\images\cascoon.png,pokemon_distorted\cascoon.png
castform,pokemon\images\castform.png,pokemon_distorted\castform.png
caterpie,pokemon\images\caterpie.png,pokemon_distorted\caterpie.png
celebi,pokemon\images\celebi.png,pokemon_distorted\celebi.png
celesteela,pokemon\images\celesteela.png,pokemon_distorted\celesteela.png
chandelure,pokemon\images\chandelure.png,pokemon_distorted\chandelure.png
chansey,pokemon\images\chansey.png,pokemon_distorted\chansey.png
charizard,pokemon\images\charizard.png,pokemon_distorted\charizard.png
charjabug,pokemon\images\charjabug.png,pokemon_distorted\charjabug.png
charmander,pokemon\images\charmander.png,pokemon_distorted\charmander.png
charmeleon,pokemon\images\charmeleon.png,pokemon_distorted\charmeleon.png
chatot,pokemon\images\chatot.png,pokemon_distorted\chatot.png
cherrim,pokemon\images\cherrim.png,pokemon_distorted\cherrim.png
cherubi,pokemon\images\cherubi.png,pokemon_distorted\cherubi.png
chesnaught,pokemon\images\chesnaught.png,pokemon_distorted\chesnaught.png
chespin,pokemon\images\chespin.png,pokemon_distorted\chespin.png
chikorita,pokemon\images\chikorita.png,pokemon_distorted\chikorita.png
chimchar,pokemon\images\chimchar.png,pokemon_distorted\chimchar.png
chimecho,pokemon\images\chimecho.png,pokemon_distorted\chimecho.png
chinchou,pokemon\images\chinchou.png,pokemon_distorted\chinchou.png
chingling,pokemon\images\chingling.png,pokemon_distorted\chingling.png
cinccino,pokemon\images\cinccino.png,pokemon_distorted\cinccino.png
clamperl,pokemon\images\clamperl.png,pokemon_distorted\clamperl.png
clauncher,pokemon\images\clauncher.png,pokemon_distorted\clauncher.png
clawitzer,pokemon\images\clawitzer.png,pokemon_distorted\clawitzer.png
claydol,pokemon\images\claydol.png,pokemon_distorted\claydol.png
clefable,pokemon\images\clefable.png,pokemon_distorted\clefable.png
clefairy,pokemon\images\clefairy.png,pokemon_distorted\clefairy.png
cleffa,pokemon\images\cleffa.png,pokemon_distorted\cleffa.png
cloyster,pokemon\images\cloyster.png,pokemon_distorted\cloyster.png
cobalion,pokemon\images\cobalion.png,pokemon_distorted\cobalion.png
cofagrigus,pokemon\images\cofagrigus.png,pokemon_distorted\cofagrigus.png
combee,pokemon\images\combee.png,pokemon_distorted\combee.png
combusken,pokemon\images\combusken.png,pokemon_distorted\combusken.png
comfey,pokemon\images\comfey.png,pokemon_distorted\comfey.png
conkeldurr,pokemon\images\conkeldurr.png,pokemon_distorted\conkeldurr.png
corphish,pokemon\images\corphish.png,pokemon_distorted\corphish.png
corsola,pokemon\images\corsola.png,pokemon_distorted\corsola.png
cosmoem,pokemon\images\cosmoem.png,pokemon_distorted\cosmoem.png
cosmog,pokemon\images\cosmog.png,pokemon_distorted\cosmog.png
cottonee,pokemon\images\cottonee.png,pokemon_distorted\cottonee.png
crabominable,pokemon\images\crabominable.png,pokemon_distorted\crabominable.png
crabrawler,pokemon\images\crabrawler.png,pokemon_distorted\crabrawler.png
cradily,pokemon\images\cradily.png,pokemon_distorted\cradily.png
cranidos,pokemon\images\cranidos.png,pokemon_distorted\cranidos.png
crawdaunt,pokemon\images\crawdaunt.png,pokemon_distorted\crawdaunt.png
cresselia,pokemon\images\cresselia.png,pokemon_distorted\cresselia.png
croagunk,pokemon\images\croagunk.png,pokemon_distorted\croagunk.png
crobat,pokemon\images\crobat.png,pokemon_distorted\crobat.png
croconaw,pokemon\images\croconaw.png,pokemon_distorted\croconaw.png
crustle,pokemon\images\crustle.png,pokemon_distorted\crustle.png
cryogonal,pokemon\images\cryogonal.png,pokemon_distorted\cryogonal.png
cubchoo,pokemon\images\cubchoo.png,pokemon_distorted\cubchoo.png
cubone,pokemon\images\cubone.png,pokemon_distorted\cubone.png
cutiefly,pokemon\images\cutiefly.png,pokemon_distorted\cutiefly.png
cyndaquil,pokemon\images\cyndaquil.png,pokemon_distorted\cyndaquil.png
darkrai,pokemon\images\darkrai.png,pokemon_distorted\darkrai.png
darmanitan-standard,pokemon\images\darmanitan-standard.png,pokemon_distorted\darmanitan-standard.png
dartrix,pokemon\images\dartrix.png,pokemon_distorted\dartrix.png
darumaka,pokemon\images\darumaka.png,pokemon_distorted\darumaka.png
decidueye,pokemon\images\decidueye.png,pokemon_distorted\decidueye.png
dedenne,pokemon\images\dedenne.png,pokemon_distorted\dedenne.png
deerling,pokemon\images\deerling.png,pokemon_distorted\deerling.png
deino,pokemon\images\deino.png,pokemon_distorted\deino.png
delcatty,pokemon\images\delcatty.png,pokemon_distorted\delcatty.png
delibird,pokemon\images\delibird.png,pokemon_distorted\delibird.png
delphox,pokemon\images\delphox.png,pokemon_distorted\delphox.png
deoxys-normal,pokemon\images\deoxys-normal.png,pokemon_distorted\deoxys-normal.png
dewgong,pokemon\images\dewgong.png,pokemon_distorted\dewgong.png
dewott,pokemon\images\dewott.png,pokemon_distorted\dewott.png
dewpider,pokemon\images\dewpider.png,pokemon_distorted\dewpider.png
dhelmise,pokemon\images\dhelmise.png,pokemon_distorted\dhelmise.png
dialga,pokemon\images\dialga.png,pokemon_distorted\dialga.png
diancie,pokemon\images\diancie.png,pokemon_distorted\diancie.png
diggersby,pokemon\images\diggersby.png,pokemon_distorted\diggersby.png
diglett,pokemon\images\diglett.png,pokemon_distorted\diglett.png
ditto,pokemon\images\ditto.png,pokemon_distorted\ditto.png
dodrio,pokemon\images\dodrio.png,pokemon_distorted\dodrio.png
doduo,pokemon\images\doduo.png,pokemon_distorted\doduo.png
donphan,pokemon\images\donphan.png,pokemon_distorted\donphan.png
doublade,pokemon\images\doublade.png,pokemon_distorted\doublade.png
dragalge,pokemon\images\dragalge.png,pokemon_distorted\dragalge.png
dragonair,pokemon\images\dragonair.png,pokemon_distorted\dragonair.png
dragonite,pokemon\images\dragonite.png,pokemon_distorted\dragonite.png
drampa,pokemon\images\drampa.png,pokemon_distorted\drampa.png
drapion,pokemon\images\drapion.png,pokemon_distorted\drapion.png
dratini,pokemon\images\dratini.png,pokemon_distorted\dratini.png
drifblim,pokemon\images\drifblim.png,pokemon_distorted\drifblim.png
drifloon,pokemon\images\drifloon.png,pokemon_distorted\drifloon.png
drilbur,pokemon\images\drilbur.png,pokemon_distorted\drilbur.png
drowzee,pokemon\images\drowzee.png,pokemon_distorted\drowzee.png
druddigon,pokemon\images\druddigon.png,pokemon_distorted\druddigon.png
ducklett,pokemon\images\ducklett.png,pokemon_distorted\ducklett.png
dugtrio,pokemon\images\dugtrio.png,pokemon_distorted\dugtrio.png
dunsparce,pokemon\images\dunsparce.png,pokemon_distorted\dunsparce.png
duosion,pokemon\images\duosion.png,pokemon_distorted\duosion.png
durant,pokemon\images\durant.png,pokemon_distorted\durant.png
dusclops,pokemon\images\dusclops.png,pokemon_distorted\dusclops.png
dusknoir,pokemon\images\dusknoir.png,pokemon_distorted\dusknoir.png
duskull,pokemon\images\duskull.png,pokemon_distorted\duskull.png
dustox,pokemon\images\dustox.png,pokemon_distorted\dustox.png
dwebble,pokemon\images\dwebble.png,pokemon_distorted\dwebble.png
eelektrik,pokemon\images\eelektrik.png,pokemon_distorted\eelektrik.png
